img_no,x,y,z,img_x,img_y,l2_dlt,l2_opencv
107,3.2265944480896,0.8689572811126709,0.3185937702655792,53.0,28.0,7.071067811865476,2.8284271247461903
108,3.2269582748413086,0.8631460666656494,0.3083284795284271,51.0,29.0,5.830951894845301,2.0
109,3.223820686340332,0.8625041246414185,0.2773078978061676,50.0,29.0,6.708203932499369,2.23606797749979
110,3.2152695655822754,0.8969907760620117,0.2803948521614074,50.0,28.0,7.615773105863909,3.0
111,3.168893337249756,0.934268355369568,0.2948638796806335,49.0,28.0,7.615773105863909,3.1622776601683795
112,3.153266429901123,0.9792993664741516,0.2949095070362091,49.0,28.0,8.06225774829855,3.605551275463989
113,3.153266429901123,0.9792993664741516,0.2949095070362091,50.0,27.0,9.433981132056603,5.0
114,3.052201747894287,0.5926888585090637,0.4350598752498626,52.0,27.0,9.219544457292889,6.0
115,2.9924545288085938,0.3499637246131897,0.3553945422172546,53.0,27.0,7.071067811865476,13.152946437965905
116,2.9560787677764893,0.5233186483383179,0.3694475293159485,54.0,27.0,3.1622776601683795,6.082762530298219
117,2.8679723739624023,0.4791400134563446,0.3422021269798279,56.0,27.0,3.0,4.123105625617661
118,2.28699278831482,0.5228599309921265,0.4229016900062561,55.0,26.0,8.06225774829855,3.1622776601683795
119,2.314130544662476,0.5240424275398254,0.4241160154342651,55.0,26.0,8.246211251235321,2.23606797749979
120,2.314130544662476,0.5240424275398254,0.4241160154342651,54.0,25.0,7.615773105863909,1.0
121,2.328354597091675,0.5193750858306885,0.4293864071369171,54.0,25.0,9.486832980505138,1.4142135623730951
122,2.328354597091675,0.5193750858306885,0.4293864071369171,54.0,26.0,10.44030650891055,2.23606797749979
123,2.3782780170440674,0.4744912981986999,0.4284009337425232,56.0,26.0,9.848857801796104,2.23606797749979
124,2.389474630355835,0.4460374116897583,0.4199953973293304,57.0,26.0,8.54400374531753,2.23606797749979
125,2.4121108055114746,0.4425457715988159,0.4167070388793945,57.0,26.0,7.615773105863909,2.23606797749979
126,2.419040441513061,0.4604274928569793,0.4237756431102752,58.0,26.0,8.246211251235321,2.0
127,2.426919460296631,0.484183132648468,0.4083377420902252,57.0,26.0,5.0990195135927845,2.0
128,2.43132758140564,0.5106508731842041,0.4236555993556976,57.0,26.0,8.06225774829855,2.23606797749979
129,2.289723873138428,0.610580325126648,0.4626406133174896,56.0,26.0,18.0,5.830951894845301
130,2.422260999679565,0.5726666450500488,0.4429742991924286,55.0,26.0,11.180339887498947,2.8284271247461903
131,2.2922303676605225,0.6384003162384033,0.4663060009479522,54.0,25.0,18.027756377319943,4.47213595499958
132,2.420232057571411,0.6244103312492371,0.4202463626861572,53.0,26.0,6.0,2.8284271247461903
133,2.419114112854004,0.6341140866279602,0.4223590791225433,52.0,26.0,7.071067811865476,2.23606797749979
134,2.410125732421875,0.7175794243812561,0.4177698194980621,50.0,26.0,5.0990195135927845,2.8284271247461903
135,2.413184881210327,0.7697815299034119,0.3955506384372711,49.0,26.0,3.1622776601683795,3.1622776601683795
136,2.408750534057617,0.782834529876709,0.396217405796051,47.0,26.0,1.4142135623730951,2.23606797749979
137,2.421902894973755,0.8207176923751831,0.3872877359390259,46.0,27.0,2.23606797749979,2.8284271247461903
138,2.43365478515625,0.9060419201850892,0.4136247932910919,45.0,27.0,5.0,4.47213595499958
139,2.328677177429199,0.9875246286392212,0.4309768378734588,43.0,27.0,9.219544457292889,7.615773105863909
140,2.432399034500122,0.9589683413505554,0.4343525171279907,41.0,26.0,7.071067811865476,2.23606797749979
141,2.4358110427856445,0.9986871480941772,0.4165884852409363,40.0,25.0,2.8284271247461903,2.0
142,2.4358110427856445,0.9986871480941772,0.4165884852409363,39.0,26.0,3.1622776601683795,1.4142135623730951
143,2.426188468933105,1.0505943298339844,0.3982706367969513,38.0,26.0,2.0,3.0
144,2.4227066040039062,1.0613027811050415,0.3946504294872284,37.0,26.0,1.4142135623730951,2.0
145,2.428055047988892,1.065813660621643,0.4193470776081085,36.0,27.0,4.0,2.23606797749979
146,2.427191734313965,1.0812638998031616,0.4146981537342071,36.0,26.0,2.23606797749979,2.23606797749979
147,2.470569610595703,1.0269794464111328,0.4470491409301758,36.0,26.0,8.246211251235321,1.4142135623730951
148,2.4789793491363525,1.0275545120239258,0.4365181624889374,36.0,26.0,6.324555320336759,1.4142135623730951
149,2.4789793491363525,1.0275545120239258,0.4365181624889374,37.0,26.0,6.082762530298219,1.0
